,a,b,c,d,e,f,g,h,i
30,I,,O,O,Earth,https://book-of-thoth.net/Ace-of-Disks,https://en.wikipedia.org/wiki/Ace_of_Coins,"
A White Radiant Angelic Hand, holding a branch of a
Rose Tree, whereon is a large Pentacle, formed of Five concentric
circles. The Innermost Circle is white, charged with a 
red Greek Cross. From this White Centre, Twelve Rays,
also white, issue: these terminate at the circumference,
making the whole something like an Astrological figure of the
Heavens.
It is surmounted by a small circle, above which is a large
white Maltese Cross, and with two white wings.
Four Crosses and two buds are shewn. The Hand issueth
from the Clouds as in the other three cases.
It represents materiality in all senses, good and evil: and
is, therefore, in a sense, illusionary: it shows material gain,
labour, power, wealth, etc. 
"," is a card used in Latin suited playing cards which include 

"" by tarot readers. Tarot cards are used throughout much of 

-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

https://en.wikipedia.org/w/index.php?title=Ace_of_Coins&oldid=1041286341

 This page was last edited on 29 August 2021, at 17:38

;
additional terms may apply.  By using this site, you agree to the "
31,II,,O,O,Change,https://book-of-thoth.net/Two-of-Disks-Change,https://en.wikipedia.org/wiki/Two_of_Coins,"
Two wheels, disks or pentacles, similar to that of the Ace.
They are united by a green-and-gold serpent, bound about
them like a figure of 8. It holds its tail in its mouth. A
White Radiant Angelic Hand holds the centre of the whole. No
roses enter into this card. Above and below are the symbols of Jupiter and Capricorn. It is a revolving symbol.

The harmony of change, alternation of gain and loss;
weakness and strength; everchanging occupation; wandering,
discontented with any fixed condition of things; now elated,
then melancholy; industrious, yet unreliable; fortunate through
prudence of management, yet sometimes unaccountably foolish;
alternatively talkative and suspicious. Kind, yet wavering and
inconsistent. Fortunate in journeying. Argumentative. 


“The number Two, Chokmah, here rules in the suit pertaining to Earth. It shows
the type of Energy appropriate to Two, in its most fixed form. According to the
doctrine that Change is the support of stability, the card is called Change.

Its celestial rulers are Jupiter and Capricornus; and these symbols are most
inharmonious, so that in practical matters the good fortune of Jupiter is very
limited. Their influence on the card is not great. Yet, Jupiter being himself the


The card represents two Pantacles, one above the other; they are the Chinese
symbols of the Yang and Yin duplicated as in the Hsiang. One wheel is dextro and
the other laevorotatory. They thus represent the harmonious interplay of
the Four Elements in constant movement. One may in fact consider the card as the picture of the complete manifested Universe, in respect of its dynamics.


). His tail is in his mouth. He forms the figure Eight, the symbol of the
Infinite, the equation 0=2.”
"," is a card used in Latin suited playing cards which include 

-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

 Two of Coins is inspired by the ribbon of traditional tarots which often displayed the name of the card manufacturer.


The Two of Coins, or The Two of Pentacles is a card when upright means to juggle, to struggle in a positive influence, to balance, to maintain. To keep your head up but feel like you want to jump out of your skin. It symbolizes an internal mental struggle, being unsure not knowing your path during accention.
The Reversed card indicates imbalances, excess juggling, excess struggle, the advice of the card is to re-dress balance.

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Two_of_Coins&oldid=1039470390

 This page was last edited on 18 August 2021, at 22:20

;
additional terms may apply.  By using this site, you agree to the "
32,III,,O,O,Works,https://book-of-thoth.net/Three-of-Disks-Works,https://en.wikipedia.org/wiki/Three_of_Coins,"A White-Winged Angelic Hand, as before, holding a branch
of a rose tree, of which two white rosebuds touch and surmount
the topmost Pentacle. The Pentacles are arranged in
an equilateral triangle. Above and below the symbols of Mars and Capricorn. 

Working and constructive force, building up, creation,
erection; realization and increase of material things; gain in
commercial transactions, rank; increase of substance, influence,
cleverness in business, selfishness. Commencement of
matters to be established later. Narrow and prejudiced. Keen
in matters of gain; sometimes given to seeking after
impossibilities.  


final.  (Business, paid employment, commercial
transaction). 

“The influence of Binah in the sphere of Earth shows the material establishment
of the idea of the Universe, the determination of its basic form. It is ruled by Mars in Capricornus; he is exalted in that Sign, and
therefore at his best. His energy is constructive, like that of the builder or
engineer. The card represents a pyramid viewed from above the apex. The base
is formed by three wheels - Mercury, Sulphur, and Salt; Sattvas, Rajas, and
Tamas in the Hindu system; Aleph, Shin, and Mem - Air, Fire, and Water - the
three Mother letters of the Hebrew alphabet.


This pyramid is situated in the great Sea of Binah in the Night of Time, but the
sea is solidified; hence the colours of the background are mottled, a cold thin
dark grey with a pattern of indigo and green. The sides of the pyramid have a
strong reddish tint, showing the influence of Mars.”
","Three of Coins (""tre di denari"") from an Italian deck

-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

In tarot, positive attributes of the Three of Pentacles in a spread include the mastery of a skill in trade or work; achieving perfection; artistic ability; and dignity through renown rank or power.  Negative attributes (when card is in reverse) include sloppiness resulting in a lower quality outcome; lack of skill; banal ideas; and preoccupation with off task concerns.

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Three_of_Coins&oldid=1039469985

 This page was last edited on 18 August 2021, at 22:17

;
additional terms may apply.  By using this site, you agree to the "
33,I,V,O,O,Power,https://book-of-thoth.net/Four-of-Disks-Power,https://en.wikipedia.org/wiki/Four_of_Coins,"A Hand holding a branch of a rose tree, but without
flowers or buds, save that in the centre is one fully blown
white rose. Pentacles are disposed as on the points of a
square; a rose in its centre. Symbols of the Sun and Capricorn above and
below to represent the Decan. 

Assured material gain: success, rank, dominion, earthy
power, completed but leading to nothing beyond. Prejudicial,
covetous, suspicious, careful and orderly, but discontented.
Little enterprise or originality. According to dignity as usual. 


“The Four, Chesed, shows the establishment of the Universe in three
dimensions, that is, below the Abyss. The generating idea is exhibited in its full
material sense. The card is ruled by the Sun in Capricornus, the Sign in which
he is reborn. The disks are very large and solid; the suggestion of the card is
that of a fortress. This represents Law and Order, maintained by constant

authority and vigilance. The disks themselves are square; revolution is very
opposite to the card; and they contain the signs of the Four Elements. For all
that, they revolve; defence is valid only when violently active. So far as it
appears stationary, it is the “dead centre” of the engineer; and Capricornus is
the point at which the Sun “turns again Northward”. 


The background is of deep
azure, flecked yellow,
suggesting a moat; but beyond this is a pattern of green and indigo to represent
the guarded fields whose security is assured by the fortress.
In the Yi King, Sol in Capricornus is represented by the Second
Hexagram, Khwan, which is the Female Principle. Compare the English word
Queen, Anglo-Saxon Cwen, old Mercian Kwoen. Cognate are Icelandic Kvan,
Gothic Kwens, woman. The Indo Germanic type is g(w)eni and the Sanskrit root GwEN. Note also Cwm, coombe,
and agnate words, meaning an enclosed valley, usually with water running from
it. Womb - possibly a softened form?

Compare also the innumerable words, derived from the root Gas, Which imply
an enclosed and fortified space. Case, castle, chest, cyst, chaste, incest and so
on.

The primary radicle in all this class of words is the guttural. Observe the
Hebrew attributions: Gimel, the moon; Cheth, Cancer, the house of the moon;
Kaph, the Wheel; Qoph, the Moon, XVIII, Guttur, the throat. Sounds so made
suggest the other throat; one is the channel of respiration and nutrition, the
other of reproduction and elimination.”
","-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

A spread containing the Four of Pentacles refers to a lover of material wealth, one who hoards things of value with no prospect of sharing.  In contrast, when the Four of Pentacles is in reverse it warns against the tendency of being a spendthrift. 

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Four_of_Coins&oldid=1039463594

 This page was last edited on 18 August 2021, at 21:22

;
additional terms may apply.  By using this site, you agree to the "
34,V,,O,O,Worry,https://book-of-thoth.net/Five-of-Disks-Worry,https://en.wikipedia.org/wiki/Five_of_Coins,"A WHITE Radiant Angelic Hand issuing from clouds, and
holding a branch of the white rose tree, but from which
the roses are falling, and leaving no buds behind. Five
Pentacles similar to the Ace. Above and below are Mercury and Taurus. 

Loss of money or position. Trouble about material things.
Labour, toil, land cultivation; building, knowledge and
acuteness of earthly things, poverty, carefulness, kindness;
sometimes money regained after severe toil and labour.
Unimaginative, harsh, stern, determined, obstinate.


final (Loss of profession, loss of money, monetary
anxiety).

“The Number Five, Geburah, in the suit of Earth, shows the disruption of the
Elements, just as in the other suits. This is emphasized by the rule of Mercury
in Taurus, types of energy which are opposed. It needs a very powerful Mercury
to upset Taurus; so the natural meaning is Intelligence applied to Labour.

The symbol represents five disks in the form of the inverted Pentagram,
instability in the very foundations of Matter. The effect is that of an
earthquake. They are, however, representative of the five Tatvas; these hold
together, on a very low plane, an organism which would otherwise disrupt
completely. The background is an angry, ugly red with yellow markings. The
general effect is one of intense strain; yet the symbol implies long-continued
inaction.”
"," is a card used in Latin suited playing cards which include 

-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

This card suggests a grim and hard situation, a quagmire which the subjects won't soon be out of. You may be ambivalent, trapped in indecision, and feeling left out or shut off, but determined. 


The church windows imply charities and hopes, difficult to satisfy, but still worth fighting for. The right figure pictured isn't obviously friend or foe to the man on crutches, suggesting an uncertain relation. Obviously someone is in need of help, and you will be either drawn or repelled by someone or something in slow degrees. The bell around the  crippled man's neck means the issue is insistent, and though you may want to ignore it, you should not, cannot, because ignoring only worsens a problem of severity. In medieval times, lepers were made to wear a bell around their neck to warn others of their approach so people could avoid them. 

This card foretells of material trouble above all, whether in the form illustrated, that is, destitution, or otherwise; it is also a card of love and for lovers – wife, husband, friend, mistress — showing a state of concordance and affinity between the two figures.


The Five of Coins, or the Five of Pentacles is a card when upright means to lose all faith, losing resources, losing a lover (mostly shows up when you've had a breakup), and losing security whether financially or emotionally (or both).


The Reversed meaning of the card is when hope returns slowly but surely, you can be positive from the troubles you've recently experienced, mostly shows up when you are back into a relationship again that was once broken, a renewal of faith. The advice of the card is to see a glass as half full not half empty, to seek help when you need it and not fear rejection.

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://www.newenglandhistoricalsociety.com/buzzards-bay-leper-colony-tragic-exile/

https://en.wikipedia.org/w/index.php?title=Five_of_Coins&oldid=1039463357

 This page was last edited on 18 August 2021, at 21:21

;
additional terms may apply.  By using this site, you agree to the "
35,V,I,O,O,Success,https://book-of-thoth.net/Six-of-Disks-Success,https://en.wikipedia.org/wiki/Six_of_Coins,"A White Radiant Angelic Hand holding a rose branch
with white roses and buds, each of which touches a
Pentacle. Pentacles are arranged in two columns of three
each. Above and below are the symbols Taurus and The Moon of the
Decan.

Success and gain in material undertakings. Power,
influence, rank, nobility, rule over the people. Fortunate,
successful, liberal and just.

If ill dignified, may be purse-proud, insolent from excess,
or prodigal.


final (Success in material things, prosperity in
business).

“The Number Six, Tiphareth, as before, represents the full harmonious
establishment of the Energy of the Element. The
Moon in Taurus rules the card; and this, while increasing the approach to
perfection (for the Moon is exalted in Taurus and therefore in her highest form)
marks that the condition is transient.

The disks are arranged in the form of the Hexagram, which is shown in
skeleton. In the centre blushes and glows the light rose-madder of dawn, and
without are three concentric circles, golden yellow, salmon-pink, and amber.
These colours show Tiphareth fully realized on Earth; it reaffirms in form what
was mathematically set forth in describing the Ace.

The planets are arranged in accordance with their usual attribution; but they
are only shown as disks irradiated by the Sun in their centre.

This Sun is idolized as the Rose and Cross; the Rose has forty-nine petals, the
interplay of the Seven with the Seven.”
",", is a card used in Latin suited playing cards which include 

-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

A merchant weighs money in a pair of scales and distributes it to the needy and distressed, signifying the redistribution of wealth and gratification. This card also questions the motives of charity, and the inherent power dynamics, for example the societal expectations on recipients to be ""grateful"" and behave accordingly. It also raises the question of who benefits from charity, is it the recipient or the giver? 
The scales are symbolic of a balance or imbalance, in the distribution of wealth, resources and power, which can also be interpreted as pointing to the balances or imbalances in personal relationships.


Reversed, the card represents desire, cupidity, envy, jealousy and illusion.


Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Six_of_Coins&oldid=1039467667

 This page was last edited on 18 August 2021, at 21:58

;
additional terms may apply.  By using this site, you agree to the "
36,V,II,O,O,Failure,https://book-of-thoth.net/Seven-of-Disks-Failure,https://en.wikipedia.org/wiki/Seven_of_Coins,"A White Radiating Angelic Hand issuing from a cloud,
and holding a white rose branch. Seven Pentacles arranged
like the geomantic figure Rubeus. There are only five buds,
which overhang, but do not touch the five uppermost
Pentacles. Above and below are the Decan symbols, Saturn and Taurus respectively. 

Promises of success unfulfilled. (Shewn, as it were, by the
fact that the rosebuds do not come to anything.) Loss of
apparently promising fortune. Hopes deceived and crushed.
Disappointment, misery, slavery, necessity and baseness. A
cultivator of land, and yet a loser thereby. Sometimes it
denotes slight and isolated gains with no fruits resulting
therefrom, and of no further account, though seeming to
promise well.


final (Unprofitable speculations and employments;
little gain for much labour).

“The number Seven, Netzach, has its customary enfeebling erect, and this is
made worse by the influence of Saturn in Taurus. The disks are arranged in the
shape of the geomantic figure Rubeus, the most ugly and menacing of the
Sixteen. (See 

.) The atmosphere of the card is that of Blight. On
the background, which represents vegetation and cultivation, everything is
spoiled. The four colours of Netzach appear, but they are blotched with angry
indigo and reddish orange. The disks themselves are the leaden disks of Saturn.
They suggest bad money.”
"," is a card used in Latin suited playing cards which include 

-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

The Seven of Pentacles (Coins) often means movement. This could be moving house or moving up in your career.


The Seven of Coins, or The Seven of Pentacles is a card when upright means to show your commitment towards your work life or dreams, it may seem like charity work to you but it is on the value of receiving emotional and spiritual rewards, like the saying 'success is a journey not a destination'.


The reversed meaning of the card means, excess energy and personal resources used that can cause a strain, the feeling of giving too much of your time and resources with little reward or assurance of moving forward. The advice of the card is to re-assess your commitment levels, if for too long you are not receiving the results you desire, it may be best to cut your losses especially when it seems to be a bad investment of your time and money.


If you tend them properly, if you mulch, if you water,


if you provide birds that eat insects a home and winter food,


if the praying mantis comes and the ladybugs and the bees,


then the plants flourish, but at their own internal clock.

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Seven_of_Coins&oldid=1056615346

 This page was last edited on 22 November 2021, at 20:09

;
additional terms may apply.  By using this site, you agree to the "
37,V,III,O,O,Prudence,https://book-of-thoth.net/Eight-of-Disks-Prudence,https://en.wikipedia.org/wiki/Eight_of_Coins,"A White Radiating Angelic Hand, issuing from a cloud,
and grasping a branch of a rose tree, with four white roses
thereon, which touch only the four lowermost Pentacles. No
rosebuds even, but only leaves, touch the four uppermost 
disks. All the Pentacles are similar to that of the Ace, but
without the Maltese cross and wings. They are arranged like
the geomantic figure Populus. Above and below them are the
symbols the Sun and Virgo for the Decan.

Over-careful in small things at the expense of great:
“Penny wise and pound foolish”: gain of ready money in small
sums; mean; avaricious; industrious; cultivation of land;
hoarding, lacking in enterprise. 


“The number Eight, Hod, is very helpful in this card, because it represents
Mercury in his most spiritual aspect, and he both rules
and is exalted in the sign of Virgo, which belongs to the Decan, and is governed
by the Sun. It signifies intelligence lovingly applied to material matters,
especially those of the agriculturalist, the artificer and the engineer.

One might suggest that this card marks the turn of the tide. The seven of Disks
is in one sense the fullest possible establishment of Matter - compare 

 - the
lowest fallen and therefore the highest exalted. These last three cards seem to
prepare the explosion which will renew the whole Cycle. Note that Virgo is
Yod, the secret seed of Life, and also the Virgin Earth awaiting the Phallic
Plough.


The interest of this card is the interest of the common people. The rulership of
the Sun in Virgo suggests also birth. The disks are arranged in the form of the
geomantic figure 

. These disks may be represented as the flowers or
fruits of a great tree, its solid roots in fertile land.

In the Yi King, Sol in Virgo is represented by the 33rd Hexagram, Thun, “Big
Air”. It means “retiring”; and the commentary indicates how best to make use
of that manoeuvre. This is congruous enough with the essence of Virgo, the
secret withdrawing of Energy into the fallow Earth. 

, moreover, is the
Moon retiring from manifestation to her conjunction with the Sun.”
"," is a card used in Latin suited playing cards which include 

-speaking countries, where the games are largely unknown, Tarot cards came to be utilized primarily for 

An artist in stone at his work, which he exhibits in the form of trophies. Divinatory Meanings: Work, employment, commission, craftsmanship, skill in craft and business, perhaps in the preparatory stage.  Steady patience with achievement kept in mind.  Reversed: Voided ambition, vanity, cupidity, exaction, usury. It may also signify the possession of skill, in the sense of the ingenious mind turned to cunning and intrigue.

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Eight_of_Coins&oldid=1039461691

 This page was last edited on 18 August 2021, at 21:07

;
additional terms may apply.  By using this site, you agree to the "
38,I,X,O,O,Gain,https://book-of-thoth.net/Nine-of-Disks-Gain,https://en.wikipedia.org/wiki/Nine_of_Coins,"A WHITE Radiating Angelic Hand, holding a rose branch
with nine white roses, each of which touches a Pentacle.
The Pentacles are arranged thus: (two columns of four with one in the middle, like an H): and there are rosebuds on
the branches as well as flowers. Venus and Virgo above and
below. 

Complete realization of material gain, good, riches;
inheritance; covetous; treasuring of goods; and sometimes
theft and knavery. The whole according to dignity.


“The number Nine, Yesod, inevitably brings back the balance of Force in
fulfilment. The card is ruled by Venus in Virgo. It shows good luck attending
material affairs, favour and popularity.

The disks are arranged as an equilateral triangle of three, apex upwards, close
together; and, surrounded at some distance by a ring, six larger disks in the
form of a hexagon. This signifies the multiplication of the original established
Word - by the mingling of ""good luck and good management"". The three central
disks are of the magical pattern as in earlier cards; but the others, since the

descent into matter implies the gradual exhaustion of the original whirling
energy, now take on the form of coins. These may be marked with the magical
images of the appropriate planets.


As a general remark, one may say that the multiplication of a symbol of Energy
always tends to degrade its essential meaning, as well as to complicate it.
”
"," is a card used in Latin suited playing cards which include 

"" and represents a financially independent aristocrat.


-speaking countries, where the games are largely unknown, tarot cards came to be utilized primarily for 

 on a large estate, most likely representing a fine material status. Her lofty demeanor is almost aristocratic and she may reflect a 

Her facial expression is neutral. This inscrutability may be interpreted positively or negatively. On the one hand, she accepts her abundance of comforts; on the other, it does not show any enthusiasm for it. In 

, this may testify to her strong perfectionistic demeanor and difficulty finding satisfaction.


, which may testify to the refinement of her senses. A hooded falcon rests at ease on her arm, again pointing to her aristocratic upbringing and complacent ignorance of the world beyond her garden. A young 

, denoted by a blue shell, makes its way across her path. She is unaware of its potentially fatal proximity.


The Nine of Coins, or the Nine of Pentacles is a card when upright means having the financial independence, having the self-reliance of personal pursuits, the ability to treat yourself with luxury, being on a stable financial plateau and steady security.


, the card means excess spending, being co-dependent on your financials or on others, to feel lonely in your personal pursuits, to feel inadequate financially, to have everything money can buy but yet still feeling impoverished emotionally and spiritually. The advice of the card is to look within the root of your existing problems, to look and focus on what will make you feel complete and secure, yet to learn and grow along the way.

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

https://en.wikipedia.org/w/index.php?title=Nine_of_Coins&oldid=1041175474

 This page was last edited on 29 August 2021, at 01:35

;
additional terms may apply.  By using this site, you agree to the "
39,X,,O,O,Wealth,https://book-of-thoth.net/Ten-of-Disks-Wealth,https://en.wikipedia.org/wiki/Ten_of_Coins,"AN Angelic Hand, holding by the lower extremity a branch
whose roses touch all the Pentacles. No buds, however, are
shewn. The symbols of Mercury and Virgo are above and below. 


Completion of material gain and fortune; but nothing
beyond: as it were, at the very pinnacle of success. Old age,
slothfulness; great wealth, yet sometimes loss in part;
heaviness; dullness of mind, yet clever and prosperous in
money transactions. 

“The number Ten, Malkuth, as always, represents the final issue of the Energy.
Here is great and final solidification. The
force is completely expended and results in death. Mercury rules this card in
Virgo; and this may imply that the acquired wealth, being inert, will be
dissipated unless put to further use by devoting its power to objects other than
mere accumulation.

The disks, or (as they have now become) coins, are arranged on the Tree of
Life, but the Tenth coin is much larger than the rest; the image indicates the
futility of material gain.

These disks are inscribed with various symbols of mercurial character except
that the coin in the place of Hod (Mercury) on the Tree is marked with the
cipher of the Sun. This indicates the only possibility of issue from the impasse
produced by the exhaustion of all the elemental forces. At the end of matter
must be complete stagnation, were it not that in it is always inherent the Will
of the Father, the Great Architect, the Great Arithmetician, the Great
Geometer. In this case, then, Mercury will represent the Logos, the Word, the
Will, the Wisdom, the Eternal Son, and Virgo the Virgin, in every implication of
that symbol. This card is in fact a hieroglyph of the cycle of regeneration.

Among the Geomantic figures, Mercury in Virgo is Conjunctio. The meaning, conjunction, is shown plainly by the attraction of the
descending (female) Triangle, the cipher of the Yoni, to the ascending (male)
Triangle, that of the Lingam. This union completed, they appear interlaced, forming the figure of Capricornus, the Sign
in which the Sun finds his rebirth. It is the holy Hexagram, the symbol of the
uniting of the Macrocosm and the Microcosm, the accomplishment of the Great
Work, the Summum Bonum, True Wisdom and Perfect Happiness. Sic sit vobis!”
","The coins in the front are ordered according to the structure of the kabbalistic 

A woman, possibly the mother of the child, is talking to the man.

It is often associated with family matters, financial matters or a mix of the two.


Some sources associate it with affluence or even riches.

https://en.wikipedia.org/w/index.php?title=Ten_of_Coins&oldid=1039469044

 This page was last edited on 18 August 2021, at 22:09

;
additional terms may apply.  By using this site, you agree to the "
40,,,,,The Fool,https://book-of-thoth.net/Atu-O-The-Fool,https://en.wikipedia.org/wiki/The_Fool_(Tarot_card)," : Truth, laughter, lust: Wine’s Holy Fool! Veil rent,


BE SILENT, BABE IN THE EGG OF BLUE, THAT THOU

MAYEST GROW TO BEAR THE LANCE AND GRAAL!



WANDER ALONE, AND SING! IN THE KING'S PALACE
HIS DAUGHTER AWAITS THEE.

In spiritual matters, the Fool means idea, thought, spirituality, that which
endeavours to transcend earth.

In material matters, it may, if badly dignified, mean folly, eccentricity, or even
mania.

But the essential of this card is that it represents an original, subtle, sudden
impulse or impact, coming from a completely strange quarter.

All such impulses are right, if rightly received; and the good or ill
interpretation of the card depends entirely on the right attitude of the Querent."," (the first) or XXII (the last). However, in decks designed for playing traditional 

, it is typically unnumbered, as it is not one of the 21 

 mean ""the madman"" or ""the beggar"", and may be related to the word for 'checkmate' in relation to the original use of tarot cards for gaming purposes.

In the earliest tarot decks, the Fool is usually depicted as a beggar or a vagabond. In the 

, the Fool wears ragged clothes and stockings without shoes, and carries a stick on his back. He has what appear to be feathers in his hair. His unruly beard and feathers may relate to the tradition of the 

. Another early Italian image that relates to the tradition is the first (and lowest) of the series of the so-called 

. This series of prints containing images of social roles, 

) is depicted as a barefoot man in robes, apparently with bells on his hood, playing a 

The Tarot of Marseilles and related decks similarly depict a bearded person wearing what may be a 

's hat; he always carries a bundle of his belongings on a stick (called a bindle) slung over his back. He appears to be getting chased away by an animal, either a dog or a cat. The animal has torn his pants.

, the Fool is shown as a young man, walking unknowingly toward the brink of a precipice. In the Rider–Waite deck, he is also portrayed as having with him a small dog. The Fool holds a white rose (a symbol of freedom from baser desires) in one hand, and in the other a small bundle of possessions, representing untapped collective knowledge.

 tarot decks that do not use the traditional emblematic images of 

In the decks before Waite–Smith, the Fool is almost always unnumbered. There are a few exceptions: some old decks (including the 15th-century 

) labelled the card with a 0, and the 18th-century Belgian decks labelled the Fool as XXII.

 The Fool is almost always completely apart from the sequence of trumps in the historic decks. Still, there is historic precedent for regarding it as the lowest trump and as the highest trump.


The two most common Fool cards in tarot card games, l'Excuse (left) of the Tarot Nouveau and the 

In tarot card reading, the Fool is usually considered part of the Major Arcana. This is not true in 

; the Fool's role in most games is independent of both the plain suit cards and the trump cards, and the card does not belong to either category. As such, most tarot decks originally made for game playing do not assign a number to the Fool indicating its rank in the suit of trumps; it has none. Waite gives the Fool the number 0, but in his book discusses the Fool between 

, no. 21. The only traditional game deck that numbers the Fool 0 is the 

 In almost all tarot games, the Fool is one of the most valuable cards.


In most tarot games originating from Italy and France, the Fool has a unique role. In these games, the Fool is sometimes called ""the Excuse"". Tarot games are typically 

; playing the Fool card excuses the player from either 

. At the end of the trick, the player then takes back the Fool and adds it to their own trick pile and (in most games) gives the trick's winner the least valuable card from that same pile. If there are no cards to give in exchange, the Fool is worth one point less and an extra point is given to the trick-taker. Or, at the end of the hand, it can be awarded to a player or team that has won all the tricks. Usually the Fool can't be captured but in some games it can be won in the last trick which may yield a scoring bonus.


, a player dealt trump 1 but with no other trumps or the Fool can make trump 1 behave the same as the Fool (

 However, in official tournament rules, a player in this situation must declare their hand and force a redeal (

 game of Sedici and its variants treated the Fool as the lowest trump.

 Unlike most games, the Fool is worth only one point. This is similar to the role of the 

In most Central European Tarock games, the Fool, or 

, is simply played as the 22nd trump, making it the highest trump in such games.

, the Fool can be captured but only if it is played in the same trick with trumps 21 and 1 in which case trump 1 wins; this is called the Emperor's trick or Fairytale trick.

, the player that loses trump 21 to the Fool traditionally has to wear a silly hat.

, the Fool is an excuse but in a rare circumstance it will be the highest trump. If the player who holds the Fool has won all the previous tricks, in the last trick the Fool becomes the highest trump.

, the Fool is the highest trump but if it is the last trump in the player's possession, the player can elect to throw in another card instead of following suit. Once this occurs, the Fool is no longer a trump but an excuse that must be reserved for the last trick.

 They can be used separately or together to fill missing gaps in combinations or extend them but they can't fill in two consecutive gaps in sequential combinations.

 They can't replace the highest trump or kings. Both cards can be used in every sequence but as the Fool can't be captured while the Magician is vulnerable, the player holding the Magician would want to use it only judiciously.

 is the last survivor, the Fool can take the place of a missing card during declarations before play. However, a 

 completed using the Fool is worth only half the points compared to a natural meld. Also, when leading a trick the Fool can turn into the weakest card of any suit the player chooses but it will be sent to the player's trick pile just like an excuse. If, however, the opponents lack the suit named, then they may get the right to set the trick's suit.

.  This depiction resembles the Fool in the earliest surviving painted decks.

, the Fool is interpreted as the protagonist of a story, and the Major Arcana is the path the Fool takes through the great mysteries of life. This path is known traditionally in cartomancy as the ""Fool's Journey"", and is frequently used to introduce the meaning of Major Arcana cards to beginners.

Folly, mania, extravagance, intoxication, delirium, frenzy, bewrayment. [If the card is] Reversed: Negligence, absence, distribution, carelessness, apathy, nullity, vanity.

 uses tarot cards to name character's Stands. An ornery yet intelligent 

 named Iggy uses the Stand named The Fool, with the power to control sand.

 uses tarot cards to symbolize major characters in the games and to categorize Personas. The protagonists of the 

 games are loosely represented by The Fool, with Persona 3 and 4 also using The Fool to represent their group as a whole and Persona 5 using it to represent the character Igor.

The tarot revealed: A modern guide to reading the tarot cards

, Dummet & McLeod, 2004. Edwin Mellen Press, Lampeter. Vol.1, page 169-170.

The Owl, The Raven, and The Dove: Religious Meaning of the Grimm's Magic Fairy Tales

 109 (1998):15-24, ""The Celtic Tarot and the Secret Tradition: A Study in Modern Legend Making"" (1998)

https://en.wikipedia.org/w/index.php?title=The_Fool_(Tarot_card)&oldid=1045541275

 This page was last edited on 21 September 2021, at 03:06

;
additional terms may apply.  By using this site, you agree to the "
